"no-of-
rings",diaBYpitch,"pitch
(um)","wl
(um)"
4,0.8,1.2,0.617329
4,0.8,1.2,0.589655
4,0.8,1.2,0.564356
4,0.8,1.2,0.541139
4,0.8,1.2,0.519757
4,0.8,1.2,0.5
4,0.8,1.4,1.8
4,0.8,1.4,1.58333
4,0.8,1.4,1.41322
4,0.8,1.4,1.27612
4,0.8,1.4,1.16327
4,0.8,1.4,1.06875
4,0.8,1.4,0.988439
4,0.8,1.4,0.919355
4,0.8,1.4,0.859296
4,0.8,1.4,0.806604
4,0.8,1.4,0.76
4,0.8,1.4,0.718487
4,0.8,1.4,0.681275
4,0.8,1.4,0.647727
4,0.8,1.4,0.617329
4,0.8,1.4,0.589655
4,0.8,1.4,0.564356
4,0.8,1.4,0.541139
4,0.8,1.4,0.519757
4,0.8,1.4,0.5
4,0.8,1.6,1.8
4,0.8,1.6,1.58333
4,0.8,1.6,1.41322
4,0.8,1.6,1.27612
4,0.8,1.6,1.16327
4,0.8,1.6,1.06875
4,0.8,1.6,0.988439
4,0.8,1.6,0.919355
4,0.8,1.6,0.859296
4,0.8,1.6,0.806604
4,0.8,1.6,0.76
4,0.8,1.6,0.718487
4,0.8,1.6,0.681275
4,0.8,1.6,0.647727
4,0.8,1.6,0.617329
4,0.8,1.6,0.589655
4,0.8,1.6,0.564356
4,0.8,1.6,0.541139
4,0.8,1.6,0.519757
4,0.8,1.6,0.5
4,0.8,1.8,1.8
4,0.8,1.8,1.58333
4,0.8,1.8,1.41322
4,0.8,1.8,1.27612
4,0.8,1.8,1.16327
4,0.8,1.8,1.06875
4,0.8,1.8,0.988439
4,0.8,1.8,0.919355
4,0.8,1.8,0.859296
4,0.8,1.8,0.806604
4,0.8,1.8,0.76
4,0.8,1.8,0.718487
4,0.8,1.8,0.681275
4,0.8,1.8,0.647727
4,0.8,1.8,0.617329
4,0.8,1.8,0.589655
4,0.8,1.8,0.564356
4,0.8,1.8,0.541139
4,0.8,1.8,0.519757
4,0.8,1.8,0.5
4,0.8,2,1.8
4,0.8,2,1.58333
4,0.8,2,1.41322
4,0.8,2,1.27612
4,0.8,2,1.16327
4,0.8,2,1.06875
4,0.8,2,0.988439
4,0.8,2,0.919355
4,0.8,2,0.859296
4,0.8,2,0.806604
4,0.8,2,0.76
4,0.8,2,0.718487
4,0.8,2,0.681275
4,0.8,2,0.647727
4,0.8,2,0.617329
4,0.8,2,0.589655
4,0.8,2,0.564356
4,0.8,2,0.541139
4,0.8,2,0.519757
4,0.8,2,0.5
4,0.9,0.8,1.8
4,0.9,0.8,1.58333
4,0.9,0.8,1.41322
4,0.9,0.8,1.27612
4,0.9,0.8,1.16327
4,0.9,0.8,1.06875
4,0.9,0.8,0.988439
4,0.9,0.8,0.919355
4,0.9,0.8,0.859296
4,0.9,0.8,0.806604
4,0.9,0.8,0.76
4,0.9,0.8,0.718487
4,0.9,0.8,0.681275
4,0.9,0.8,0.647727
4,0.9,0.8,0.617329
4,0.9,0.8,0.589655
4,0.9,0.8,0.564356
4,0.9,0.8,0.541139
4,0.9,0.8,0.519757
4,0.9,0.8,0.5
4,0.9,1,1.8
4,0.9,1,1.58333
4,0.9,1,1.41322
4,0.9,1,1.27612
4,0.9,1,1.16327
4,0.9,1,1.06875
4,0.9,1,0.988439
4,0.9,1,0.919355
4,0.9,1,0.859296
4,0.9,1,0.806604
4,0.9,1,0.76
4,0.9,1,0.718487
4,0.9,1,0.681275
4,0.9,1,0.647727
4,0.9,1,0.617329
4,0.9,1,0.589655
4,0.9,1,0.564356
4,0.9,1,0.541139
4,0.9,1,0.519757
4,0.9,1,0.5
4,0.9,1.2,1.8
4,0.9,1.2,1.58333
4,0.9,1.2,1.41322
4,0.9,1.2,1.27612
4,0.9,1.2,1.16327
4,0.9,1.2,1.06875
4,0.9,1.2,0.988439
4,0.9,1.2,0.919355
4,0.9,1.2,0.859296
4,0.9,1.2,0.806604
4,0.9,1.2,0.76
4,0.9,1.2,0.718487
4,0.9,1.2,0.681275
4,0.9,1.2,0.647727
4,0.9,1.2,0.617329
4,0.9,1.2,0.589655
4,0.9,1.2,0.564356
4,0.9,1.2,0.541139
4,0.9,1.2,0.519757
4,0.9,1.2,0.5
4,0.9,1.4,1.8
4,0.9,1.4,1.58333
4,0.9,1.4,1.41322
4,0.9,1.4,1.27612
4,0.9,1.4,1.16327
4,0.9,1.4,1.06875
4,0.9,1.4,0.988439
4,0.9,1.4,0.919355
4,0.9,1.4,0.859296
4,0.9,1.4,0.806604
4,0.9,1.4,0.76
4,0.9,1.4,0.718487
4,0.9,1.4,0.681275
4,0.9,1.4,0.647727
4,0.9,1.4,0.617329
4,0.9,1.4,0.589655
4,0.9,1.4,0.564356
4,0.9,1.4,0.541139
4,0.9,1.4,0.519757
4,0.9,1.4,0.5
4,0.9,1.6,1.8
4,0.9,1.6,1.58333
4,0.9,1.6,1.41322
4,0.9,1.6,1.27612
4,0.9,1.6,1.16327
4,0.9,1.6,1.06875
4,0.9,1.6,0.988439
4,0.9,1.6,0.919355
4,0.9,1.6,0.859296
4,0.9,1.6,0.806604
4,0.9,1.6,0.76
4,0.9,1.6,0.718487
4,0.9,1.6,0.681275
4,0.9,1.6,0.647727
4,0.9,1.6,0.617329
4,0.9,1.6,0.589655
4,0.9,1.6,0.564356
4,0.9,1.6,0.541139
4,0.9,1.6,0.519757
4,0.9,1.6,0.5
4,0.9,1.8,1.8
4,0.9,1.8,1.58333
4,0.9,1.8,1.41322
4,0.9,1.8,1.27612
4,0.9,1.8,1.16327
4,0.9,1.8,1.06875
4,0.9,1.8,0.988439
4,0.9,1.8,0.919355
4,0.9,1.8,0.859296
4,0.9,1.8,0.806604
4,0.9,1.8,0.76
4,0.9,1.8,0.718487
4,0.9,1.8,0.681275
4,0.9,1.8,0.647727
4,0.9,1.8,0.617329
4,0.9,1.8,0.589655
4,0.9,1.8,0.564356
4,0.9,1.8,0.541139
4,0.9,1.8,0.519757
4,0.9,1.8,0.5
4,0.9,2,1.8
4,0.9,2,1.58333
4,0.9,2,1.41322
4,0.9,2,1.27612
4,0.9,2,1.16327
4,0.9,2,1.06875
4,0.9,2,0.988439
4,0.9,2,0.919355
4,0.9,2,0.859296
4,0.9,2,0.806604
4,0.9,2,0.76
4,0.9,2,0.718487
4,0.9,2,0.681275
4,0.9,2,0.647727
4,0.9,2,0.617329
4,0.9,2,0.589655
4,0.9,2,0.564356
4,0.9,2,0.541139
4,0.9,2,0.519757
4,0.9,2,0.5
4,0.6,0.8,1.58333
4,0.6,0.8,1.41322
4,0.6,0.8,1.27612
4,0.6,0.8,1.16327
4,0.6,0.8,1.06875
4,0.6,0.8,0.988439
4,0.6,0.8,0.919355
4,0.6,0.8,0.859296
4,0.6,0.8,0.806604
4,0.6,0.8,0.76
4,0.6,0.8,0.718487
4,0.6,0.8,0.681275
4,0.6,0.8,0.647727
4,0.6,0.8,0.617329
4,0.6,0.8,0.589655
4,0.6,0.8,0.564356
4,0.6,0.8,0.541139
4,0.6,0.8,0.519757
4,0.6,0.8,0.5
4,0.6,1,1.8
4,0.6,1,1.58333
4,0.6,1,1.41322
4,0.6,1,1.27612
4,0.6,1,1.16327
4,0.6,1,1.06875
4,0.6,1,0.988439
4,0.6,1,0.919355
4,0.6,1,0.859296
4,0.6,1,0.806604
4,0.6,1,0.76
4,0.6,1,0.718487
4,0.6,1,0.681275
4,0.6,1,0.647727
4,0.6,1,0.617329
4,0.6,1,0.589655
4,0.6,1,0.564356
4,0.6,1,0.541139
4,0.6,1,0.519757
4,0.6,1,0.5
4,0.6,1.2,1.8
4,0.6,1.2,1.58333
4,0.6,1.2,1.41322
4,0.6,1.2,1.27612
4,0.6,1.2,1.16327
4,0.6,1.2,1.06875
4,0.6,1.2,0.988439
4,0.6,1.2,0.919355
4,0.6,1.2,0.859296
4,0.6,1.2,0.806604
4,0.6,1.2,0.76
4,0.6,1.2,0.718487
4,0.6,1.2,0.681275
4,0.6,1.2,0.647727
4,0.6,1.2,0.617329
4,0.6,1.2,0.589655
4,0.6,1.2,0.564356
4,0.6,1.2,0.541139
4,0.6,1.2,0.519757
4,0.6,1.2,0.5
4,0.6,1.4,1.8
4,0.6,1.4,1.58333
4,0.6,1.4,1.41322
4,0.6,1.4,1.27612
4,0.6,1.4,1.16327
4,0.6,1.4,1.06875
4,0.6,1.4,0.988439
4,0.6,1.4,0.919355
4,0.6,1.4,0.859296
4,0.6,1.4,0.806604
4,0.6,1.4,0.76
4,0.6,1.4,0.718487
4,0.6,1.4,0.681275
4,0.6,1.4,0.647727
4,0.6,1.4,0.617329
4,0.6,1.4,0.589655
4,0.6,1.4,0.564356
4,0.6,1.4,0.541139
4,0.6,1.4,0.519757
4,0.6,1.4,0.5
4,0.6,1.6,1.8
4,0.6,1.6,1.58333
4,0.6,1.6,1.41322
4,0.6,1.6,1.27612
4,0.6,1.6,1.16327
4,0.6,1.6,1.06875
4,0.6,1.6,0.988439
4,0.6,1.6,0.919355
4,0.6,1.6,0.859296
4,0.6,1.6,0.806604
4,0.6,1.6,0.76
4,0.6,1.6,0.718487
4,0.6,1.6,0.681275
4,0.6,1.6,0.647727
4,0.6,1.6,0.617329
4,0.6,1.6,0.589655
4,0.6,1.6,0.564356
4,0.6,1.6,0.541139
4,0.6,1.6,0.519757
4,0.6,1.6,0.5
4,0.6,1.8,1.8
4,0.6,1.8,1.58333
4,0.6,1.8,1.41322
4,0.6,1.8,1.27612
4,0.6,1.8,1.16327
4,0.6,1.8,1.06875
4,0.6,1.8,0.988439
4,0.6,1.8,0.919355
4,0.6,1.8,0.859296
4,0.6,1.8,0.806604
4,0.6,1.8,0.76
4,0.6,1.8,0.718487
4,0.6,1.8,0.681275
4,0.6,1.8,0.647727
4,0.6,1.8,0.617329
4,0.6,1.8,0.589655
4,0.6,1.8,0.564356
4,0.6,1.8,0.541139
4,0.6,1.8,0.519757
4,0.6,1.8,0.5
4,0.6,2,1.8
4,0.6,2,1.58333
4,0.6,2,1.41322
4,0.6,2,1.27612
4,0.6,2,1.16327
4,0.6,2,1.06875
4,0.6,2,0.988439
4,0.6,2,0.919355
4,0.6,2,0.859296
4,0.6,2,0.806604
4,0.6,2,0.76
4,0.6,2,0.718487
4,0.6,2,0.681275
4,0.6,2,0.647727
4,0.6,2,0.617329
4,0.6,2,0.589655
4,0.6,2,0.564356
4,0.6,2,0.541139
4,0.6,2,0.519757
4,0.6,2,0.5
5,0.7,0.8,1.8
5,0.7,0.8,1.58333
5,0.7,0.8,1.41322
5,0.7,0.8,1.27612
5,0.7,0.8,1.16327
5,0.7,0.8,1.06875
5,0.7,0.8,0.988439
5,0.7,0.8,0.919355
5,0.7,0.8,0.859296
5,0.7,0.8,0.806604
5,0.7,0.8,0.76
5,0.7,0.8,0.718487
5,0.7,0.8,0.681275
5,0.7,0.8,0.647727
5,0.7,0.8,0.617329
5,0.7,0.8,0.589655
5,0.7,0.8,0.564356
5,0.7,0.8,0.541139
5,0.7,0.8,0.519757
5,0.7,0.8,0.5
5,0.7,1,1.8
5,0.7,1,1.58333
5,0.7,1,1.41322
5,0.7,1,1.27612
5,0.7,1,1.16327
5,0.7,1,1.06875
5,0.7,1,0.988439
5,0.7,1,0.919355
5,0.7,1,0.859296
5,0.7,1,0.806604
5,0.7,1,0.76
5,0.7,1,0.718487
5,0.7,1,0.681275
5,0.7,1,0.647727
5,0.7,1,0.617329
5,0.7,1,0.589655
5,0.7,1,0.564356
5,0.7,1,0.541139
5,0.7,1,0.519757
5,0.7,1,0.5
5,0.7,1.2,1.8
5,0.7,1.2,1.58333
5,0.7,1.2,1.41322
5,0.7,1.2,1.27612
5,0.7,1.2,1.16327
5,0.7,1.2,1.06875
5,0.7,1.2,0.988439
5,0.7,1.2,0.919355
5,0.7,1.2,0.859296
5,0.7,1.2,0.806604
5,0.7,1.2,0.76
5,0.7,1.2,0.718487
5,0.7,1.2,0.681275
5,0.7,1.2,0.647727
5,0.7,1.2,0.617329
5,0.7,1.2,0.589655
5,0.7,1.2,0.564356
5,0.7,1.2,0.541139
5,0.7,1.2,0.519757
5,0.7,1.2,0.5
5,0.7,1.4,1.8
5,0.7,1.4,1.58333
5,0.7,1.4,1.41322
5,0.7,1.4,1.27612
5,0.7,1.4,1.16327
5,0.7,1.4,1.06875
5,0.7,1.4,0.988439
5,0.7,1.4,0.919355
5,0.7,1.4,0.859296
5,0.7,1.4,0.806604
5,0.7,1.4,0.76
5,0.7,1.4,0.718487
5,0.7,1.4,0.681275
5,0.7,1.4,0.647727
5,0.7,1.4,0.617329
5,0.7,1.4,0.589655
5,0.7,1.4,0.564356
5,0.7,1.4,0.541139
5,0.7,1.4,0.519757
5,0.7,1.4,0.5
5,0.7,1.6,1.8
5,0.7,1.6,1.58333
5,0.7,1.6,1.41322
5,0.7,1.6,1.27612
5,0.7,1.6,1.16327
5,0.7,1.6,1.06875
5,0.7,1.6,0.988439
5,0.7,1.6,0.919355
5,0.7,1.6,0.859296
5,0.7,1.6,0.806604
5,0.7,1.6,0.76
5,0.7,1.6,0.718487
5,0.7,1.6,0.681275
5,0.7,1.6,0.647727
5,0.7,1.6,0.617329
5,0.7,1.6,0.589655
5,0.7,1.6,0.564356
5,0.7,1.6,0.541139
5,0.7,1.6,0.519757
5,0.7,1.6,0.5
5,0.7,1.8,1.8
5,0.7,1.8,1.58333
5,0.7,1.8,1.41322
5,0.7,1.8,1.27612
5,0.7,1.8,1.16327
5,0.7,1.8,1.06875
5,0.7,1.8,0.988439
5,0.7,1.8,0.919355
5,0.7,1.8,0.859296
5,0.7,1.8,0.806604
5,0.7,1.8,0.76
5,0.7,1.8,0.718487
5,0.7,1.8,0.681275
5,0.7,1.8,0.647727
5,0.7,1.8,0.617329
5,0.7,1.8,0.589655
5,0.7,1.8,0.564356
5,0.7,1.8,0.541139
5,0.7,1.8,0.519757
5,0.7,1.8,0.5
5,0.7,2,1.8
5,0.7,2,1.58333
5,0.7,2,1.41322
5,0.7,2,1.27612
5,0.7,2,1.16327
5,0.7,2,1.06875
5,0.7,2,0.988439
5,0.7,2,0.919355
5,0.7,2,0.859296
5,0.7,2,0.806604
5,0.7,2,0.76
5,0.7,2,0.718487
5,0.7,2,0.681275
5,0.7,2,0.647727
5,0.7,2,0.617329
5,0.7,2,0.589655
5,0.7,2,0.564356
5,0.7,2,0.541139
5,0.7,2,0.519757
5,0.7,2,0.5
